,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12275,2618,59,15,157,28,304,56,352,66,-58,0.034402102,35,NewGudkova,0.373308024
12276,1060,79,32,182,19,297,50,120,22,-154,0.034471964,35,NewGudkova,0.372004834
12277,1889,143,44,50,3,315,44,318,4,-2,0.034492108,35,NewGudkova,0.371629088
12278,2110,137,45,43,3,310,44,326,4,12,0.034516624,35,NewGudkova,0.371171771
12279,1319,122,44,215,3,310,45,130,4,-176,0.034626874,35,NewGudkova,0.369115217
12280,2238,192,29,88,22,326,51,328,26,-28,0.034671682,35,NewGudkova,0.368279375
12281,2315,202,19,101,28,322,54,330,36,-36,0.03471362,35,NewGudkova,0.367497089
12282,1223,127,45,220,1,311,44,126,2,176,0.034742953,35,NewGudkova,0.366949916
12283,2209,163,42,62,11,320,44,328,12,-4,0.034777112,35,NewGudkova,0.36631274
12284,946,112,44,208,5,303,44,118,6,-180,0.034816097,35,NewGudkova,0.365585529
12285,623,209,12,112,30,319,56,96,64,-124,0.034830397,35,NewGudkova,0.365318774
12286,2226,180,36,74,19,323,46,328,20,-16,0.034868366,35,NewGudkova,0.364610522
12287,1837,135,44,44,1,312,44,314,2,0,0.034915406,35,NewGudkova,0.363733045
12288,2620,61,18,160,25,300,57,352,68,-62,0.034951372,35,NewGudkova,0.363062153
12289,429,130,46,222,0,312,43,72,2,120,0.034969365,35,NewGudkova,0.362726522
12290,959,104,43,203,9,304,44,118,10,-176,0.034975658,35,NewGudkova,0.362609132
12291,1603,132,47,222,0,312,43,222,88,90,0.035001989,35,NewGudkova,0.362117965
12292,273,132,46,42,0,312,43,42,2,90,0.035001989,35,NewGudkova,0.362117965
12293,1934,143,44,47,5,312,44,320,6,2,0.035006232,35,NewGudkova,0.362038818
12294,690,216,8,121,30,320,58,102,60,-126,0.035035602,35,NewGudkova,0.361490959
12295,2668,67,22,168,26,302,54,358,72,-62,0.035042582,35,NewGudkova,0.361360773
12296,2129,165,42,64,11,321,45,326,12,-8,0.035044601,35,NewGudkova,0.361323096
12297,414,131,46,222,0,312,43,70,2,118,0.035149601,35,NewGudkova,0.359364466
12298,2426,212,12,114,30,321,56,336,42,-40,0.035163932,35,NewGudkova,0.359097157
12299,2091,187,30,84,21,325,51,324,24,-28,0.035166439,35,NewGudkova,0.359050393
12300,2241,187,31,82,23,321,48,328,26,-22,0.035204781,35,NewGudkova,0.358335164
12301,127,130,44,39,0,310,44,16,0,66,0.03520603,35,NewGudkova,0.358311862
12302,1218,130,45,40,0,310,45,126,0,176,0.03520603,35,NewGudkova,0.358311862
12303,631,129,45,39,0,310,45,98,0,148,0.03520603,35,NewGudkova,0.358311862
12304,1713,129,45,39,0,309,45,272,0,-38,0.03520603,35,NewGudkova,0.358311862
12305,467,130,45,39,0,310,45,78,0,128,0.03520603,35,NewGudkova,0.358311862
12306,2648,131,46,39,1,308,43,356,2,46,0.035228044,35,NewGudkova,0.357901227
12307,2056,153,44,54,9,314,44,324,10,0,0.035287545,35,NewGudkova,0.356791322
12308,2020,178,35,75,18,322,49,322,20,-22,0.035350742,35,NewGudkova,0.35561248
12309,880,55,11,151,28,305,58,114,42,-136,0.035373941,35,NewGudkova,0.355179721
12310,2064,170,40,68,13,323,46,324,14,-14,0.035381431,35,NewGudkova,0.355040018
12311,927,60,16,159,28,304,56,116,38,-140,0.035395661,35,NewGudkova,0.354774566
12312,2488,221,2,129,30,316,58,340,50,-48,0.035398854,35,NewGudkova,0.354715019
12313,2073,168,40,64,15,317,45,324,16,-10,0.035510839,35,NewGudkova,0.352626084
12314,735,45,1,136,33,312,56,106,52,-134,0.035601702,35,NewGudkova,0.350931157
12315,1144,80,31,183,21,302,50,122,24,-154,0.035668292,35,NewGudkova,0.349689027
12316,2496,44,2,135,29,310,60,340,54,-52,0.035687722,35,NewGudkova,0.349326581
12317,2003,169,39,68,13,323,47,322,14,-16,0.035737277,35,NewGudkova,0.348402199
12318,979,77,31,182,21,300,49,118,24,-156,0.035738713,35,NewGudkova,0.34837542
12319,261,131,45,42,0,312,45,40,0,88,0.035858849,35,NewGudkova,0.346134449
12320,1853,131,45,41,0,312,45,316,0,4,0.035858849,35,NewGudkova,0.346134449
12321,50,132,45,42,0,312,45,6,0,54,0.035858849,35,NewGudkova,0.346134449
12322,1712,131,45,41,0,311,45,272,0,-40,0.035858849,35,NewGudkova,0.346134449
12323,226,132,45,41,0,312,45,32,0,80,0.035858849,35,NewGudkova,0.346134449
12324,1857,137,44,45,1,314,44,316,2,0,0.035865449,35,NewGudkova,0.346011343
12325,2458,217,7,122,31,319,57,338,46,-44,0.03588553,35,NewGudkova,0.345636749
12326,1138,82,33,184,17,297,50,122,20,-154,0.035886192,35,NewGudkova,0.345624404
12327,2204,159,43,60,9,320,44,328,10,-2,0.035958454,35,NewGudkova,0.344276466
12328,2118,155,44,58,7,320,44,326,8,-2,0.035963455,35,NewGudkova,0.344183178
12329,1349,124,44,215,1,307,45,132,2,-174,0.035965276,35,NewGudkova,0.344149211
12330,1262,88,35,190,16,301,49,126,18,-156,0.035992418,35,NewGudkova,0.343642905
12331,90,131,46,39,0,309,43,10,2,60,0.035996164,35,NewGudkova,0.343573038
12332,1864,139,44,45,3,312,44,316,4,0,0.036044315,35,NewGudkova,0.342674846
12333,521,192,27,90,23,325,52,84,76,-114,0.036051614,35,NewGudkova,0.342538694
12334,674,130,45,222,1,313,43,102,2,150,0.036082151,35,NewGudkova,0.34196907
12335,421,176,38,71,17,321,46,70,86,-108,0.036132201,35,NewGudkova,0.341035444
12336,1868,145,44,50,5,313,45,316,6,-4,0.036149379,35,NewGudkova,0.340715023
12337,2038,138,45,43,3,310,44,324,4,10,0.036175042,35,NewGudkova,0.340236311
12338,104,130,46,39,0,309,43,12,2,62,0.036181989,35,NewGudkova,0.340106724
12339,795,51,9,146,29,305,58,110,44,-136,0.036187424,35,NewGudkova,0.340005353
12340,2513,46,2,137,29,312,60,342,54,-52,0.036224432,35,NewGudkova,0.339315008
12341,756,118,45,212,3,305,43,108,4,166,0.036231914,35,NewGudkova,0.339175443
12342,904,111,44,210,7,307,43,116,8,176,0.036238508,35,NewGudkova,0.339052452
12343,1372,126,44,217,1,309,45,134,2,-174,0.036246995,35,NewGudkova,0.338894123
12344,912,68,25,172,25,300,52,116,30,-150,0.036251406,35,NewGudkova,0.338811859
12345,31,74,29,177,21,297,52,2,78,-68,0.036344043,35,NewGudkova,0.337083836
12346,1000,63,19,162,25,299,57,118,34,-140,0.036397444,35,NewGudkova,0.336087711
12347,2214,167,41,64,13,319,44,328,14,-6,0.036415548,35,NewGudkova,0.335750008
12348,1030,108,43,207,9,307,44,120,10,-178,0.036448135,35,NewGudkova,0.335142138
12349,1596,129,47,219,0,310,43,220,88,90,0.036503007,35,NewGudkova,0.334118581
12350,266,129,46,219,0,310,43,40,2,90,0.036503007,35,NewGudkova,0.334118581
12351,2423,145,46,49,5,314,43,336,6,16,0.036530118,35,NewGudkova,0.333612865
12352,2533,48,3,140,30,311,59,344,56,-52,0.036568759,35,NewGudkova,0.332892079
12353,1066,77,29,181,23,302,50,120,26,-154,0.03663097,35,NewGudkova,0.331731614
12354,713,218,4,126,29,316,60,104,56,-126,0.03668399,35,NewGudkova,0.330742598
12355,696,130,45,222,1,313,44,104,2,152,0.036686116,35,NewGudkova,0.330702944
12356,165,98,41,199,11,302,45,20,88,-78,0.0367037,35,NewGudkova,0.330374938
12357,2443,139,45,47,1,316,44,338,2,20,0.036778179,35,NewGudkova,0.328985638
12358,2403,214,8,119,28,319,59,334,44,-46,0.036819603,35,NewGudkova,0.32821293
12359,812,122,45,214,1,305,44,112,2,168,0.036848731,35,NewGudkova,0.327669589
12360,1995,153,43,54,9,314,44,322,10,-2,0.036893488,35,NewGudkova,0.32683472
